	"Can_5_hg38.genes.results"	"Can_6_hg38.genes.results"	"CTR_1_hg38.genes.results"	"CTR_2_hg38.genes.results"
"ENSG00000011454_RABGAP1"	496.00	503.00	488.00	602.00
"ENSG00000011465_DCN"	0.00	1.00	1.00	0.00
"ENSG00000011478_QPCTL"	172.00	132.00	155.00	176.00
"ENSG00000011485_PPP5C"	992.00	937.00	863.00	1051.00
"ENSG00000011523_CEP68"	336.00	399.00	382.00	459.00
"ENSG00000011566_MAP4K3"	444.00	451.00	468.00	557.00
"ENSG00000011590_ZBTB32"	1.00	0.00	1.00	0.00
"ENSG00000011600_TYROBP"	0.00	0.00	0.00	0.00
"ENSG00000011638_TMEM159"	90.00	134.00	131.00	120.00
"ENSG00000011677_GABRA3"	0.00	0.00	0.00	0.00
"ENSG00000012048_BRCA1"	215.00	202.00	234.00	245.00
"ENSG00000012061_ERCC1"	928.00	872.00	798.00	974.00
"ENSG00000012124_CD22"	9.00	4.00	5.00	10.00
"ENSG00000012171_SEMA3B"	3.00	4.00	10.00	4.00
"ENSG00000012174_MBTPS2"	400.46	351.80	385.00	439.42
"ENSG00000012211_PRICKLE3"	115.00	96.00	62.00	104.00
"ENSG00000012223_LTF"	1.00	0.00	0.00	0.00
"ENSG00000012232_EXTL3"	2234.00	1831.00	1847.00	2276.00
"ENSG00000012504_NR1H4"	0.00	0.00	0.00	0.00
"ENSG00000012660_ELOVL5"	1793.00	1532.00	1802.00	1924.00
"ENSG00000012779_ALOX5"	0.00	1.00	1.00	0.00
"ENSG00000012817_KDM5D"	550.00	381.00	459.00	504.00
"ENSG00000012822_CALCOCO1"	1003.00	782.00	968.00	1065.00
"ENSG00000012963_UBR7"	429.78	432.00	472.66	561.00
"ENSG00000012983_MAP4K5"	726.00	729.00	823.00	862.00
"ENSG00000013016_EHD3"	34.00	48.00	37.00	53.00
"ENSG00000013275_PSMC4"	945.00	878.00	826.00	1027.00
"ENSG00000013288_MAN2B2"	935.00	860.00	790.00	958.00
"ENSG00000013293_SLC7A14"	50.00	33.00	42.00	43.00
"ENSG00000013297_CLDN11"	4409.00	3958.00	3960.00	4165.00
"ENSG00000013306_SLC25A39"	913.00	938.00	806.00	945.00
"ENSG00000013364_MVP"	2574.00	2084.00	1884.00	2428.00
"ENSG00000013374_NUB1"	654.00	603.00	593.00	675.00
"ENSG00000013375_PGM3"	941.00	822.00	977.00	1045.00
"ENSG00000013392_RWDD2A"	129.00	92.00	111.00	149.00
"ENSG00000013441_CLK1"	757.00	528.00	904.00	782.00
"ENSG00000013503_POLR3B"	253.00	196.00	240.00	260.00
"ENSG00000013523_ANGEL1"	466.66	328.44	399.91	463.15
"ENSG00000013561_RNF14"	812.00	654.00	786.00	864.00
"ENSG00000013563_DNASE1L1"	1108.00	1055.00	990.00	1176.00
"ENSG00000013573_DDX11"	176.77	132.94	160.17	169.17
"ENSG00000013583_HEBP1"	999.00	886.00	911.00	1099.00
"ENSG00000013588_GPRC5A"	395.00	317.00	312.00	313.00
"ENSG00000013619_MAMLD1"	156.00	151.00	143.00	204.00
"ENSG00000013725_CD6"	0.00	0.00	0.00	0.00
"ENSG00000013810_TACC3"	611.00	618.00	609.00	671.00
"ENSG00000014123_UFL1"	604.00	508.00	617.00	709.00
"ENSG00000014138_POLA2"	258.00	188.00	201.00	234.00
"ENSG00000014164_ZC3H3"	236.00	190.00	209.00	265.00
"ENSG00000014216_CAPN1"	2679.00	2330.00	2206.00	2793.00
"ENSG00000014257_ACPP"	0.00	0.00	0.00	0.00
"ENSG00000014641_MDH1"	1249.00	1106.00	1262.00	1325.00
"ENSG00000014824_SLC30A9"	584.00	582.00	608.00	665.00
